,id,deviceId,action,createdLogAt,createdLogBy,changedFields,status,name,deviceType,gatewayId,platform,version,areaId,location,macAddress,nodeId,stateUpdateDuration,online,settings,data,lastUsedEnergy,usedEnergy,relayId,expiredDIM,expiredRelaySt,amqpModifiedAt
0,401965,prd_685995fd-ad2c-41a9-a784-cd147b3dacb8,created,2019-11-18 10:01:14,,[],active,PHOTO_202,PHOTO,74030b1220158e3b283e4af9,RF_868,3.0.0_002,,POINT (0.0001 0.001),00124b001684eed2,202,10,1,{},"{""error"":0,""photo"":941}",0,,,,,2019-11-18 10:01:14
1,401966,prd_61a0fd30-a155-45a2-8580-86fb856ab272,created,2019-11-18 10:01:15,,[],active,RELAY_21000,RELAY,74030b1220158e3b283e4af9,RF_868,3.0.0_002,,POINT (0.0001 0.001),00124b0016866afa,21000,30,1,"{""relay_type"":""relay_2ch""}","{""error"":0,""states"":[true,true,false,false]}",0,,,,,2019-11-18 10:01:15
2,401967,prd_edb03374-fccc-4236-80ce-bea02b1ceb77,created,2019-11-18 10:01:16,,[],active,LIGHT_20002,LIGHT,74030b1220158e3b283e4af9,RF_868,3.0.0_003,,POINT (0.0001 0.001),00124b001c734b9a,20002,10,1,"{""light_type"":""bay_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":135,""min_power"":10,""max_power"":90,""time_dimmer"":2000,""group"":0}","{""error"":0,""script"":""static"",""dimmers"":[255,255,255,255],""sensors"":[{""port"":5,""is_open"":false,""sensor_type"":""""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,,,2019-11-18 10:01:16
3,401968,prd_4d9cfe68-b01c-473b-a7b7-20ac7aac235e,created,2019-11-18 10:01:17,,[],active,PHOTO_200,PHOTO,74030b1220158e3b283e4af9,RF_868,3.0.0_002,,POINT (0.0001 0.001),00124b00168ac7d5,200,10,1,{},"{""error"":0,""photo"":322}",0,,,,,2019-11-18 10:01:17
4,401969,prd_ae12cd17-e1ca-4c4f-8560-11a5792bfc61,created,2019-11-18 10:01:22,,[],active,PHOTO_201,PHOTO,74030b1220158e3b283e4af9,RF_868,3.0.0_002,,POINT (0.0001 0.001),00124b00168ad1b6,201,10,1,{},"{""error"":0,""photo"":69}",0,,,,,2019-11-18 10:01:22
5,401970,prd_725d0578-b4d6-4d95-b822-10148f3cc534,created,2019-11-18 10:01:22,,[],active,LIGHT_20000,LIGHT,c4ef9f42d092244e9bf88d18,RF_868,3.0.0_003,,POINT (0 0),00124b001684fd28,20000,10,1,"{""light_type"":""street_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":170,""max_power"":50,""min_power"":5,""time_dimmer"":2000,""group"":60}","{""dimmers"":[255,255,255,255],""script"":""static"",""sensors"":[{""port"":5,""is_open"":false,""sensor_type"":""""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,,,2019-11-18 10:01:22
6,401971,prd_42d4427b-8932-4632-b030-2adf57b7d916,created,2019-11-18 10:01:22,,[],active,LIGHT_20000,LIGHT,74030b1220158e3b283e4af9,RF_868,3.0.0_003,,POINT (0.0001 0.001),00124b00168ab47a,20000,10,1,"{""light_type"":""bay_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":135,""min_power"":10,""max_power"":90,""time_dimmer"":2000,""group"":0}","{""error"":0,""script"":""static"",""dimmers"":[255,255,255,255],""sensors"":[{""port"":5,""is_open"":false,""sensor_type"":""""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,,,2019-11-18 10:01:22
7,401972,prd_72f856a8-f25d-4b2f-8ab6-571869efb3ba,created,2019-11-18 10:01:23,,[],active,LIGHT_20001,LIGHT,c4ef9f42d092244e9bf88d18,RF_868,3.0.0_003,,POINT (0 0),00124b001c7348c0,20001,10,1,"{""light_type"":""street_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":170,""max_power"":50,""min_power"":5,""time_dimmer"":2000,""group"":60}","{""dimmers"":[255,255,255,255],""script"":""static"",""sensors"":[{""port"":5,""is_open"":true,""sensor_type"":""HUMIDITY"",""error"":26,""humidity"":""48.619995"",""temperature"":""30.168991""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,,,2019-11-18 10:01:23
8,401973,prd_07953215-259e-4790-9560-13cf5898d112,created,2019-11-18 10:01:26,,[],active,LIGHT_20001,LIGHT,74030b1220158e3b283e4af9,RF_868,3.0.0_003,,POINT (0.0001 0.001),00124b00168ac785,20001,10,1,"{""light_type"":""bay_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":135,""min_power"":10,""max_power"":90,""time_dimmer"":2000,""group"":0}","{""error"":0,""script"":""static"",""dimmers"":[255,255,255,255],""sensors"":[{""port"":5,""is_open"":false,""sensor_type"":""""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,,,2019-11-18 10:01:26
9,401974,prd_a6ef2360-0745-457e-ab10-d016d4adf599,created,2019-11-18 10:01:32,,[],active,REPEATER_500,REPEATER,74030b1220158e3b283e4af9,RF_868,3.0.0_001,,POINT (0.0001 0.001),00124b00168a9e00,500,0,1,"{""lane_id"":0,""hop_number"":0}","{""error"":0}",0,,,,,2019-11-18 10:01:32
