"id","device_id","action","created_log_at","created_log_by","changed_fields","status","name","device_type","gateway_id","platform","version","area_id","location","mac_address","node_id","state_update_duration","online","settings","data","last_used_energy","used_energy","relay_id","expired_dim","expired_relay_state","amqp_modified_at"
404037,prd_cb51000e-d98c-43d1-97ef-3142b0c84720,updated,2019-11-19 05:25:39,,"[""data.dimmers"",""data.sensors""]",active,LIGHT_20626,LIGHT,c4ef9f42d092244e9bf88d18,RF_868,"3.0.0_003",are_dc1051b7-5a45-4477-b9e5-7ad68696bd20,POINT (0 0),"00124b001c7348c0",20626,10,1,"{""light_type"":""street_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":170,""max_power"":50,""min_power"":5,""time_dimmer"":2000,""group"":60}","{""dimmers"":[160,255,255,255],""script"":""static"",""sensors"":[{""port"":5,""is_open"":true,""sensor_type"":""HUMIDITY"",""error"":26,""humidity"":""45.769989"",""temperature"":""30.589996""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,2019-11-20 03:31:44,,2019-11-19 05:25:39
404038,prd_cb51000e-d98c-43d1-97ef-3142b0c84720,updated,2019-11-19 05:25:50,,"[""data.dimmers"",""data.sensors""]",active,LIGHT_20626,LIGHT,c4ef9f42d092244e9bf88d18,RF_868,"3.0.0_003",are_dc1051b7-5a45-4477-b9e5-7ad68696bd20,POINT (0 0),"00124b001c7348c0",20626,10,1,"{""light_type"":""street_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":170,""max_power"":50,""min_power"":5,""time_dimmer"":2000,""group"":60}","{""dimmers"":[160,255,255,255],""script"":""static"",""sensors"":[{""port"":5,""is_open"":true,""sensor_type"":""HUMIDITY"",""error"":26,""humidity"":""45.799988"",""temperature"":""30.589996""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,2019-11-20 03:31:44,,2019-11-19 05:25:50
404039,prd_685995fd-ad2c-41a9-a784-cd147b3dacb8,updated,2019-11-19 05:26:11,,"[""data.photo""]",active,PHOTO_202,PHOTO,"74030b1220158e3b283e4af9",RF_868,"3.0.0_002",,POINT (0.0001 0.001),"00124b001684eed2",202,10,1,{},"{""error"":0,""photo"":628}",0,,,,,2019-11-19 05:26:11
404040,prd_07953215-259e-4790-9560-13cf5898d112,updated,2019-11-19 05:26:13,usr_00000000-0000-0000-0000-000000000000,"[""expiredDIM""]",active,LIGHT_20001,LIGHT,"74030b1220158e3b283e4af9",RF_868,"3.0.0_003",,POINT (0.0001 0.001),"00124b00168ac785",20001,10,1,"{""light_type"":""bay_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":135,""min_power"":10,""max_power"":90,""time_dimmer"":2000,""group"":0}","{""error"":0,""script"":""static"",""dimmers"":[255,255,255,255],""sensors"":[{""port"":5,""is_open"":false,""sensor_type"":""""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,2019-11-20 05:26:09,,2019-11-19 05:26:05
404041,prd_42d4427b-8932-4632-b030-2adf57b7d916,updated,2019-11-19 05:26:13,usr_00000000-0000-0000-0000-000000000000,"[""expiredDIM""]",active,LIGHT_20000,LIGHT,"74030b1220158e3b283e4af9",RF_868,"3.0.0_003",,POINT (0.0001 0.001),"00124b00168ab47a",20000,10,1,"{""light_type"":""bay_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":135,""min_power"":10,""max_power"":90,""time_dimmer"":2000,""group"":0}","{""error"":0,""script"":""static"",""dimmers"":[255,255,255,255],""sensors"":[{""port"":5,""is_open"":false,""sensor_type"":""""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,2019-11-20 05:26:09,,2019-11-19 05:26:05
404042,prd_cb51000e-d98c-43d1-97ef-3142b0c84720,updated,2019-11-19 05:26:13,,"[""data.dimmers"",""data.sensors""]",active,LIGHT_20626,LIGHT,c4ef9f42d092244e9bf88d18,RF_868,"3.0.0_003",are_dc1051b7-5a45-4477-b9e5-7ad68696bd20,POINT (0 0),"00124b001c7348c0",20626,10,1,"{""light_type"":""street_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":170,""max_power"":50,""min_power"":5,""time_dimmer"":2000,""group"":60}","{""dimmers"":[160,255,255,255],""script"":""static"",""sensors"":[{""port"":5,""is_open"":true,""sensor_type"":""HUMIDITY"",""error"":26,""humidity"":""45.769989"",""temperature"":""30.598999""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,2019-11-20 03:31:44,,2019-11-19 05:26:13
404043,prd_07953215-259e-4790-9560-13cf5898d112,updated,2019-11-19 05:26:14,,"[""data.dimmers"",""data.sensors""]",active,LIGHT_20001,LIGHT,"74030b1220158e3b283e4af9",RF_868,"3.0.0_003",,POINT (0.0001 0.001),"00124b00168ac785",20001,10,1,"{""light_type"":""bay_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":135,""min_power"":10,""max_power"":90,""time_dimmer"":2000,""group"":0}","{""error"":0,""script"":""static"",""dimmers"":[0,255,255,255],""sensors"":[{""port"":5,""is_open"":false,""sensor_type"":""""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,2019-11-20 05:26:09,,2019-11-19 05:26:14
404044,prd_42d4427b-8932-4632-b030-2adf57b7d916,updated,2019-11-19 05:26:15,,"[""data.dimmers"",""data.sensors""]",active,LIGHT_20000,LIGHT,"74030b1220158e3b283e4af9",RF_868,"3.0.0_003",,POINT (0.0001 0.001),"00124b00168ab47a",20000,10,1,"{""light_type"":""bay_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":135,""min_power"":10,""max_power"":90,""time_dimmer"":2000,""group"":0}","{""error"":0,""script"":""static"",""dimmers"":[0,255,255,255],""sensors"":[{""port"":5,""is_open"":false,""sensor_type"":""""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,2019-11-20 05:26:09,,2019-11-19 05:26:15
404045,prd_ae12cd17-e1ca-4c4f-8560-11a5792bfc61,updated,2019-11-19 05:26:21,,"[""data.photo""]",active,PHOTO_201,PHOTO,"74030b1220158e3b283e4af9",RF_868,"3.0.0_002",,POINT (0.0001 0.001),"00124b00168ad1b6",201,10,1,{},"{""error"":0,""photo"":29}",0,,,,,2019-11-19 05:26:21
404046,prd_edb03374-fccc-4236-80ce-bea02b1ceb77,updated,2019-11-19 05:26:23,usr_00000000-0000-0000-0000-000000000000,"[""expiredDIM""]",active,LIGHT_20002,LIGHT,"74030b1220158e3b283e4af9",RF_868,"3.0.0_003",,POINT (0.0001 0.001),"00124b001c734b9a",20002,10,1,"{""light_type"":""bay_light"",""dimmer_standard"":""0-10V"",""max_driver_dimmer"":135,""min_power"":10,""max_power"":90,""time_dimmer"":2000,""group"":0}","{""error"":0,""script"":""static"",""dimmers"":[153,255,255,255],""sensors"":[{""port"":5,""is_open"":false,""sensor_type"":""""},{""port"":6,""is_open"":false,""sensor_type"":""""},{""port"":7,""is_open"":false,""sensor_type"":""""},{""port"":8,""is_open"":false,""sensor_type"":""""}]}",0,,,2019-11-20 02:33:00,,2019-11-19 05:26:14
